id,date,direction,prediction,taiex_1M,reverse_1M,taiex_3M,reverse_3M,taiex_6M,reverse_6M,taiex_12M,reverse_12M
1,2021-02-09,bullish,台股這波還沒漲到頂，流動性充裕，未來將有漲到20000點的可能性...,-1.7848968573469917,1.7848968573469917,-0.36810250887865564,0.36810250887865564,0.08012325903036042,-0.08012325903036042,9.387194579731805,-9.387194579731805
2,2021-03-31,bearish,台股絕對是泡沫股市，要跑得快...,3.059132269052693,3.059132269052693,7.784126837289951,7.784126837289951,0.8505805747991672,0.8505805747991672,5.297992286592586,5.297992286592586
3,2021-05-04,bearish,台股進入泡沫化，波動加大...,1.3656726377690158,1.3656726377690158,3.363100264678058,3.363100264678058,0.7806290149039514,0.7806290149039514,-6.503214285292463,-6.503214285292463
4,2021-12-13,bullish,"年底挑戰18,000；2022年看到20,000點...",3.4208334271370524,-3.4208334271370524,-0.2039104887548097,0.2039104887548097,-13.869515297507817,13.869515297507817,-19.885634525765997,19.885634525765997
5,2021-12-14,bullish,這一波台股指數高點就是2萬點...,4.759033988148447,-4.759033988148447,0.5664407305488908,-0.5664407305488908,-11.655871772682765,11.655871772682765,-17.934903351654057,17.934903351654057
6,2022-10-05,bearish,"台股跌到萬二；S&P 500 恐跌至3,000...",-5.6133313721839055,-5.6133313721839055,2.881585458898092,2.881585458898092,13.810815256100275,13.810815256100275,18.174421056368793,18.174421056368793
7,2023-01-11,bearish,台股恐跌破12000，不排除下探萬一...,5.501564593016,5.501564593016,4.474478423801332,4.474478423801332,17.228758683897976,17.228758683897976,22.832957324844223,22.832957324844223
8,2023-04-24,bearish,"台股有機會跌破12,629低點...",3.407272217660983,3.407272217660983,10.05972405222542,10.05972405222542,2.859625759989038,2.859625759989038,32.1667742804541,32.1667742804541
9,2023-04-25,bearish,"未來可能跌破12,629點...",5.993664581968459,5.993664581968459,11.657351342454131,11.657351342454131,4.96970540761565,4.96970540761565,34.6748658001279,34.6748658001279
10,2023-10-23,bearish,台股面臨修正壓力，投資風險偏高...,7.1707229425721914,7.1707229425721914,8.800248102312667,8.800248102312667,24.435370332082964,24.435370332082964,42.864227978458416,42.864227978458416
11,2023-12-29,bullish,萬八只是前菜？四大利多在後頭...,0.5790034025233646,-0.5790034025233646,15.740560521248062,-15.740560521248062,36.02302405747424,-36.02302405747424,25.56359695964654,-25.56359695964654
12,2024-01-22,bearish,台股攻堅2萬點有難度...,6.2914606148716645,6.2914606148716645,14.11847253172871,14.11847253172871,11.315008054964624,11.315008054964624,29.960595225398695,29.960595225398695
13,2024-04-29,bearish,AI再漲恐泡沫，下跌風險大；1-2 年跌大...,5.6938296759486935,5.6938296759486935,8.313182588194874,8.313182588194874,12.050779877748887,12.050779877748887,6.02438972029009,6.02438972029009
14,2024-08-19,bullish,最壞情況已過去，台積電5-10年看不到對手...,-3.261053395348343,3.261053395348343,0.6516394960559314,-0.6516394960559314,1.5467457517147716,-1.5467457517147716,7.4169006806448765,-7.4169006806448765
15,2024-10-21,bullish,選後美股必漲...,-3.628199687968958,3.628199687968958,-1.1711145743469336,1.1711145743469336,-11.701758477105049,11.701758477105049,20.354906630680738,-20.354906630680738
16,2025-08-20,bullish,年底前還有上漲空間...,9.07462464191144,-9.07462464191144,11.89184201437095,-11.89184201437095,38.955634265435904,-38.955634265435904,,
17,2025-09-18,bearish,FED降息股市就跌；AI泡沫如2000年...,7.293739541843489,7.293739541843489,9.236861140517261,9.236861140517261,26.399840741097176,26.399840741097176,,
18,2025-10-26,bearish,"漲越快越要考慮獲利了結；近28,000點示警...",-3.8632360290537626,-3.8632360290537626,14.542201207917657,14.542201207917657,,,,
19,2025-11-06,bearish,市場已進入多頭尾巴...,0.29190539598450393,0.29190539598450393,13.985293616899256,13.985293616899256,,,,
20,2026-03-21,bearish,美股牛市年紀已經很大，現在開始轉弱了...,,,,,,,,
